Forewing,,Hindwing,
X,Y,X,Y
-0.000003310991166294297,-44.960744463436725,0.000001504995984669133,28.95826916459974
0.01999999999999999,-38.02687463724854,0.01999999999999999,25.382667971663835
0.039999999999999994,-8.055467564954569,0.039999999999999966,22.832152865435233
0.059999999999999984,10.991771189674296,0.059999999999999956,21.60496371199497
0.08,14.28667323758512,0.07999789300562145,22.314514087724646
0.09999999999999994,15.993061350878165,0.09999999999999996,24.883560430490874
0.12000000000000004,17.69227256260966,0.1200018059951816,27.608234825872543
0.14,18.442134643285485,0.14,30.537319232280936
0.15999999999999998,18.906811531219873,0.15999999999999992,33.85931726760241
0.17999999999999994,19.537681976092998,0.17999999999999994,37.927798973098334
0.1999999999999999,20.102478502976723,0.1999999999999999,46.765324764708936
0.21999999999999997,20.89929035712575,0.21999999999999997,56.74923584770305
0.23999999999999994,22.04437028180253,0.23999999999999988,55.243964918098015
0.2599984950040153,24.126440180447304,0.25999819400481833,49.528768113187624
0.2799999999999999,26.59080399680046,0.27999999999999997,41.59201744360172
0.2999987960032123,30.854178646236434,0.29999999999999993,31.487970414834507
0.31999999999999995,36.050503322472096,0.3199981940048183,22.979245018836664
0.33999999999999997,42.11371355928735,0.34,15.435647631422299
0.36,48.42146012718493,0.36,10.898783476109713
0.38000000000000006,55.36439481081848,0.38000000000000006,9.443134495068477
0.4,62.6612963184167,0.4,9.334208959761128
0.41999999999999993,70.55144896599349,0.41999999999999993,8.705229443864908
0.44000000000000006,78.33641938332605,0.44000000000000006,6.7638924300502765
0.45999999999999996,80.84627333756328,0.4595400732270847,3.209216931041766
0.4800000000000001,74.86543985549886,0.4800000000000001,-4.376737441928441
0.5000000000000001,64.16564724250152,0.5000018059951817,-13.290571499132568
0.52,49.94643520859594,0.52,-17.20400478305882
0.54,37.188583103938115,0.5399984950040154,-20.84913917456504
0.5600000000000002,26.6177487300821,0.5600000000000002,-23.93140479473996
0.5799990970024094,18.79941354182533,0.5800000000000001,-26.80301446741143
0.6000000000000001,13.431943419756976,0.6000000000000001,-29.834732794489582
0.6200000000000001,10.191190260131833,0.6200000000000001,-33.24214647742275
0.6400000000000001,7.363975144824764,0.6400000000000001,-37.00149163426326
0.6600012039967879,4.965378171144579,0.6600000000000003,-41.25427785531579
0.680000601998394,3.29776589317828,0.680000601998394,-46.86506946539666
0.6999987960032125,1.4299683060831683,0.7000003009991973,-53.33464662756015
0.7199987960032125,-0.640523275842412,0.7200000000000003,-60.316808780911856
0.7399996990008032,-3.4871969157877345,0.7400000000000003,-56.827914560188276
0.7600024079935759,-7.496594961481122,0.7600000000000005,-46.996509851029316
0.7800000000000002,-12.088983870679982,0.7800000000000004,-35.97088451095564
0.8000000000000003,-17.409227542742144,0.7999954850120462,-24.21707131291359
0.8200000000000004,-23.275275873139492,0.8200000000000004,-14.017199888653096
0.8400000000000004,-30.731404579225824,0.8400000000000004,-5.542146379066452
0.8600000000000003,-38.95935263810176,0.8599984950040157,0.2133730359929018
0.8799978930056218,-47.94142098122009,0.8800012039967882,3.6465067257967405
0.9000000000000004,-57.63850976498537,0.9000000000000004,5.583787449248803
0.9200000000000004,-66.5249044664435,0.9200000000000004,6.562555518071889
0.9400000000000004,-74.55187848810075,0.9400000000000004,7.634870457463762
0.9600000000000002,-77.53710324436011,0.9600000000000002,10.674420709226027
0.9800000000000006,-60.99304845400775,0.9800000000000004,17.197836905961722
