t,alpha_fore,alpha_hind,Fx_fore,Fx_hind,Fz_fore,Fz_hind
0.00,-44.96,28.96,-0.0230,-0.3954,-0.0874,6.4490
0.02,-38.03,25.38,-0.0389,-0.3483,-0.0379,6.4060
0.04,-8.06,22.83,-0.0547,-0.2908,0.1247,6.0793
0.06,10.99,21.60,-0.0748,-0.2296,0.4142,5.7733
0.08,14.29,22.31,-0.0799,-0.1293,0.8523,5.5716
0.10,15.99,24.88,-0.0453,-0.1783,1.4173,5.3988
0.12,17.69,27.61,0.0848,-0.2439,2.0641,5.0025
0.14,18.44,30.54,0.2460,-0.4831,2.6983,4.2230
0.16,18.91,33.86,0.3796,-0.7972,3.4474,3.1120
0.18,19.54,37.93,0.4304,-1.1414,4.1807,2.1704
0.20,20.10,46.77,0.4445,-1.2494,4.9097,1.3393
0.22,20.90,56.75,0.3808,-1.0114,5.3821,0.7617
0.24,22.04,55.24,0.2137,-0.6634,5.4194,0.5056
0.26,24.13,49.53,-0.0423,-0.4373,5.9977,0.3352
0.28,26.59,41.59,-0.4893,-0.3867,6.9774,0.1315
0.30,30.85,31.49,-1.1638,-0.4495,6.9316,-0.1586
0.32,36.05,22.98,-1.8118,-0.6700,6.4400,-0.4556
0.34,42.11,15.44,-2.4521,-1.0235,5.5299,-0.7089
0.36,48.42,10.90,-2.9126,-1.2434,4.3080,-0.8959
0.38,55.36,9.44,-3.1803,-1.3051,2.6668,-1.0577
0.40,62.66,9.33,-3.1163,-1.4441,1.4559,-1.2820
0.42,70.55,8.71,-2.6183,-1.6812,0.5379,-1.4592
0.44,78.34,6.76,-1.6669,-1.6139,0.0336,-1.4866
0.46,80.85,3.21,-0.9504,-0.6947,-0.1705,-1.2161
0.48,74.87,-4.38,-0.4668,0.6973,-0.1445,0.0247
0.50,64.17,-13.29,-0.2367,2.3542,-0.2035,1.0444
0.52,49.95,-17.20,-0.3286,3.3254,-0.4069,1.4639
0.54,37.19,-20.85,-0.6609,3.7540,-0.6554,1.5723
0.56,26.62,-23.93,-0.9841,4.0875,-0.9079,1.7720
0.58,18.80,-26.80,-1.1997,5.0729,-1.0613,3.3528
0.60,13.43,-29.83,-1.2862,5.1240,-1.1592,2.5500
0.62,10.19,-33.24,-1.2112,3.9742,-1.2156,0.5533
0.64,7.36,-37.00,-1.0630,3.0526,-1.2325,-0.1919
0.66,4.97,-41.25,-0.8445,2.2909,-1.1913,-0.5607
0.68,3.30,-46.87,-0.5916,1.6361,-1.1093,-0.7724
0.70,1.43,-53.33,-0.3231,1.1171,-0.9597,-0.7586
0.72,-0.64,-60.32,-0.0391,0.6510,-0.6839,-0.6520
0.74,-3.49,-56.83,0.2570,0.2522,-0.5632,-0.4835
0.76,-7.50,-47.00,0.5765,-0.0072,-0.1247,-0.1949
0.78,-12.09,-35.97,1.3248,-0.1454,0.9059,-0.1726
0.80,-17.41,-24.22,2.9492,-0.1704,1.2964,-0.4672
0.82,-23.28,-14.02,3.3809,-0.1778,1.0617,-0.4175
0.84,-30.73,-5.54,3.2648,-0.1963,0.3115,-0.1289
0.86,-38.96,0.21,2.9296,-0.2056,-0.4360,0.3441
0.88,-47.94,3.65,2.2932,-0.2606,-1.0997,0.9199
0.90,-57.64,5.58,1.5948,-0.3076,-1.5112,1.3524
0.92,-66.52,6.56,0.8910,-0.3603,-1.4360,1.7692
0.94,-74.55,7.63,0.4276,-0.4015,-0.9863,3.0597
0.96,-77.54,10.67,0.1212,-0.4392,-0.5707,5.1822
0.98,-60.99,17.20,-0.0299,-0.4743,-0.3004,6.0368
